id,SalePrice
1461,121323.30953130222
1462,155538.6155633841
1463,181238.3644423963
1464,195667.11461885134
1465,198781.2751952692
1466,171641.9995915154
1467,178254.44356999203
1468,161525.61037197008
1469,187320.03779344977
1470,121591.59224265846
1471,189501.18884130358
1472,96598.60737757239
1473,93324.47772330187
1474,143198.35844475895
1475,113331.08400616475
1476,359397.2956987898
1477,249332.496604717
1478,288333.64223133225
1479,289633.37328779645
1480,479158.9548114902
1481,331680.1108015034
1482,210143.58250923094
1483,176957.1471367436
1484,161674.92369082753
1485,188783.4121197313
1486,193637.75873903488
1487,343601.65688399307
1488,236441.99970336322
1489,196869.45303490243
1490,241859.91473926493
1491,192849.56435503525
1492,90336.97895254698
1493,184553.5117842905
1494,290834.55222742737
1495,288886.6277784795
1496,236099.807653055
1497,182741.29066256725
1498,166204.45969158618
1499,159378.39347075435
1500,153970.83842071565
1501,178386.87609150354
1502,142955.0555143763
1503,290143.3564821573
1504,244180.9262368569
1505,227543.87357226762
1506,187274.5085808083
1507,244794.54235682447
1508,205580.10217912306
1509,163890.7380724347
1510,141596.33647629077
1511,148825.6666972874
1512,173347.31803565635
1513,144609.59069278775
1514,153841.74066429998
1515,191815.77338992985
1516,153994.8475388748
1517,166789.16135351377
1518,128722.49956987063
1519,211891.4523006841
1520,128806.48724423107
1521,130510.98165815091
1522,174651.57624301998
1523,114631.0303950932
1524,124514.45019783935
1525,121670.8826182118
1526,110904.81896830026
1527,106579.71894464672
1528,138716.7614381992
1529,153987.2233502667
1530,187523.88223602762
1531,106057.65307467633
1532,96367.9524644017
1533,141736.70905308888
1534,125208.16566073672
1535,150484.13075542293
1536,104699.29004052826
1537,61955.728879270886
1538,152983.05678376797
1539,192834.65607081036
1540,94972.15009000564
1541,139655.11811287174
1542,139129.25422534958
1543,196344.76512150493
1544,83978.8661804932
1545,115880.82741286892
1546,133043.47194199788
1547,130861.35578992825
1548,143386.85261989635
1549,118211.78723708309
1550,133188.52554375687
1551,107826.40487659376
1552,139118.86802536162
1553,149175.14244908918
1554,115001.76763268071
1555,155557.04366161092
1556,83496.80104165661
1557,100882.92087780977
1558,97670.27120294189
1559,63530.24570605095
1560,132507.44794489568
1561,127766.22812503054
1562,131635.2394697411
1563,120504.05823633273
1564,157470.02071659607
1565,146571.49150731575
1566,245117.34234922292
1567,74954.29426786938
1568,236145.97749132614
1569,132007.95030712665
1570,140208.95184879846
1571,123218.75352256098
1572,142634.12998361952
1573,230344.53513286618
1574,113053.89705052569
1575,225647.5922622772
1576,243508.87522284914
1577,182231.00705796957
1578,148270.618627175
1579,144672.66677142816
1580,193498.12147599855
1581,156720.98079155455
1582,127103.0437809028
1583,304898.6908785528
1584,221504.61699854484
1585,137053.67825065376
1586,67507.0764607831
1587,103521.91936973737
1588,155333.84733894552
1589,99063.1752865746
1590,131309.80329066672
1591,93469.0673137958
1592,112823.12344269504
1593,127169.08007363563
1594,127269.94403435502
1595,106997.14275586128
1596,226437.6643031274
1597,196326.17092443712
1598,226105.47050945283
1599,168462.5086925907
1600,159611.80649802825
1601,65075.766629003505
1602,115115.37060851583
1603,69386.04877066797
1604,269483.33871388575
1605,241227.9392674858
1606,167978.15390385757
1607,172155.6704446128
1608,211856.4391493952
1609,182896.35238589405
1610,150321.78320437198
1611,132703.28268735186
1612,165596.04512093583
1613,161687.90273150505
1614,130998.93016537925
1615,91968.49668435467
1616,75321.8805870946
1617,92697.4327092536
1618,124515.57871088127
1619,140039.41929268616
1620,153856.9675192014
1621,133799.65013068472
1622,145079.74822089178
1623,268535.8758985353
1624,208059.04763533635
1625,119989.21812333254
1626,162664.69505227817
1627,189959.08495913324
1628,276957.74570638937
1629,179764.92645387212
1630,363215.3645193758
1631,231895.95561374933
1632,243486.46402272568
1633,170341.92797961444
1634,183890.63474390804
1635,173803.6437387211
1636,151511.954793823
1637,206011.26716433905
1638,182412.73405098554
1639,186237.9965499551
1640,256279.44231740496
1641,179621.24407605984
1642,238621.59704654332
1643,216674.1686513685
1644,237292.45735913087
1645,203358.2074609758
1646,159852.62750435135
1647,156636.13717431572
1648,130372.92991304482
1649,140335.30405170826
1650,114036.36966612525
1651,121078.07077415904
1652,96662.53167686042
1653,99874.512865295
1654,142214.83029856186
1655,132476.31756108865
1656,136435.00238639416
1657,144776.4809207206
1658,140596.66219563916
1659,117809.88863893502
1660,152781.57735652852
1661,416748.895477174
1662,409835.7283061672
1663,381186.59078019386
1664,402117.97909607907
1665,305266.09474426566
1666,327265.2179371606
1667,371487.70021844597
1668,336137.5485600891
1669,303926.884406439
1670,355595.57267446414
1671,257193.0967682857
1672,438249.3977005642
1673,296325.147299351
1674,237848.00386301978
1675,190109.63984199223
1676,191793.9566209958
1677,219514.4941999509
1678,425733.226196852
1679,406568.41966775263
1680,333590.218190894
1681,248384.40948208445
1682,319661.92484826455
1683,179353.18192521445
1684,172496.64624363437
1685,173338.94504239064
1686,165792.37351559283
1687,169722.08271064566
1688,190151.86907035852
1689,196792.6211729578
1690,197277.8483759021
1691,183865.05817405344
1692,269871.65147885954
1693,167281.40813281666
1694,182907.42532053462
1695,167663.7286368729
1696,269541.3470120947
1697,173072.3148872007
1698,351964.8120041554
1699,316142.22003279557
1700,251434.38736628633
1701,269475.0406705466
1702,232737.45055123253
1703,238869.6266252835
1704,275502.9607289665
1705,232841.73867986555
1706,348431.8328317875
1707,212227.61771354414
1708,203795.64118832716
1709,266992.46361205296
1710,221262.60618841863
1711,269473.4306325378
1712,257394.88997959797
1713,281325.241994675
1714,225360.25966604784
1715,211276.91681659137
1716,183482.3756045534
1717,179639.7740769657
1718,135167.1297383343
1719,205882.7659712289
1720,239294.68115879007
1721,166125.40526104282
1722,124649.51987623636
1723,153333.59767211997
1724,202102.62874711445
1725,239770.60255195922
1726,191097.55487368922
1727,149795.03479654322
1728,178532.08537028055
1729,168055.9151575831
1730,160782.50058842334
1731,120715.23361499712
1732,126048.12134027561
1733,114598.21324406103
1734,118947.65045028542
1735,128436.15939524298
1736,108796.47272315163
1737,325815.0546643467
1738,242633.62536640637
1739,243550.18179933183
1740,203839.97182258955
1741,188586.92552846906
1742,175800.62749728892
1743,179512.3777965011
1744,322641.61322621437
1745,218802.44027796233
1746,179538.62171764142
1747,217565.6453976989
1748,219579.32411735028
1749,142945.41163699952
1750,121798.71126541072
1751,249583.927866521
1752,117156.63427694152
